"label","text"
"2103","いわさ  ゆうへい"
"4029","いで  まなぶ"
"5601","ほそい  としむね"
"6002","Rich Amtower"
"6209","Madison Levitan"
"7320","Alessandro Crosa"
"2104","うえむら  なおき"
"5602","おおはし  あきこ"
"6003","Ann Lin"
"7321","Marzia Faustinelli"
"9501","のがみ  ひさし"
"2105","うちやま  たけし"
"2210","にしじま  りな"
"5603",""
"6004","Tim O'Leary"
"7322","Andrea Marino"
"2106","うの  かなこ"
"2211","にへい  なおや"
"5604","かわせ  いさむ"
"6005","Scot Ritchey"
"6110","Rhiona Dey"
"7323","Pasquale Gianluca Miceli"
"2107","かわはら  さえこ"
"5605","あだち  しんご"
"6006","Morgan Ritchie"
"6111","Audrey Drake"
"7324","Miguel Ángel Carnero Calderón"
"2108","きたい  みねちか"
"6007","Álex Zarza"
"6112","Marjolaine Drouin"
"7325","Margarita Castro Arellano"
"1001","ひろまつ  こうたろう"
"2109","きたおか  じゅん"
"6113","Katie Dunlop"
"7326","Ibon Díez Maeztu"
"8020","Yunseok Choi"
"1002","わだ  まこと"
"5401","やまぐち  たかひろ"
"6114","Dan Fazio"
"7120","Gunnar Friedrich"
"7327","Ángeles Garrido"
"8021","Jiyun Lee"
"1003","あべ  ともかず"
"4040","おの  ゆうき"
"5402","いのうえ  ゆうすけ"
"6115","Peter Fries"
"6220","Victoria Arvisais"
"7121","Arne Glinka"
"7328","Jesús Gordo Martín"
"8022","Hyunsun Lee"
"1004","にしやま  じゅんひろ"
"2010","にしぼり  あつし"
"4041","そえじま  やすなり"
"5403","おかざき  あきら"
"6116","Lara Gibran"
"6221","Sam Barrett-Farris"
"7122","Katharina Glowotz"
"7329","Julio Manzaneda"
"8023","Soonil Kim"
"1005","あまの  ゆうすけ"
"2011","ささき  しんたろう"
"4042","かつら  なおと"
"5404","わたなべ  たいよう"
"6117","Nicko Gonzalez"
"6222","Emmanuel Bisson"
"7123","Benedikt Grosser"
"8024","Suzy Do"
"1006","すずき  いちろう"
"2012","まるた  ようこ"
"4043","たかき  げんたろう"
"5405","うまの  やすなり"
"6118","Yunica Hara"
"6223","Patrick Brady"
"7124","Michael Hussinger"
"8025","Pole To Win Korea Co., Ltd."
"1007","かとう  けん"
"2013","こばやし  てつや"
"4044","さわたに  ゆうじ"
"5406","たなか  しょうや"
"6119","Rob Heiret"
"6224","Catelyn Brenner"
"7125","Frithjof Koepp"
"1008","いとう  よしひこ"
"2014","すぎもと  まあさ"
"5407","おおたけ  すなお"
"6225","Ryan Bristol"
"7126","Jessica Morandi"
"1009","さかた  ただのり"
"2015","きむ  じひょん"
"2120","ひろえ  としゆき"
"5201","こばやし  ひとし"
"5408","ますだ  たくみ"
"6226","Gatlin Brown"
"7127","Sven Pötzl"
"2016","なか  しょうこ"
"2121","ふくち  しょうこ"
"5202","きたむら  こうせい"
"6227","Heriberto Bueno-Olmeda Jr"
"7128","Georg Schmalhofer"
"9101","NintendoSDK Development Team"
"2017","あおき  みき"
"2122","まつお  さなえ"
"6228","Brynne Caudill"
"7129","Hannah Siebert"
"9102","Nintendo European Research & Development"
"2018","はしもと  せい"
"2123","もちづき  りこ"
"6229","Tristan Conley"
"9103","SRD Co., Ltd."
"2019","すずき  そうしろう"
"2124","もり  ゆうじろう"
"5310","すまき  かずや"
"9104","MONOLITH SOFTWARE INC."
"2125","もりもと  えり"
"5311","おおいそ  たくま"
"9105","1-UP Studio Inc."
